Name,Date of First Email Sent,Day of First Email Sent,Date of First Received Email,Date of Last Interaction,Current Stage,Previous Stage,Stages (Grouped),Response,State,Region,Tuition,Role,Grade,Financial Aid %,Sent Email Count,Received Email Count,Date Created,Outreach Type,Last Email From,# of families that we connected',Calls,Newsletter?
Avail Academy High School,2024/04/29 11:10 PM,Monday,,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,10 - 15K,Paraprofessional & Learning Resource,,,8,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Avery Coonley School,2024/03/02 11:39 PM,Saturday,,2024/07/04 9:24 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,30 - 35K,Middle School Head,,19,7,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
Baldwin School,2024/01/10 12:48 AM,Wednesday,,2024/07/03 8:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,PA,Northeast,40 - 45K,Upper School Learning Specialist & Instructional Coach,,30%,10,0,2024/01/09 5:24 AM,,precious@efcoachtutors.com,,,Sent
Bancroft School,2024/03/15 10:50 PM,Friday,,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,35 - 40K,US Academic Support Teacher,,35,7,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Banner School,2024/04/29 11:02 PM,Monday,2024/06/29 12:50 AM,2024/07/06 11:29 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,10 - 15K,Head of School,,33,8,1,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Barnesville School of Arts & Sciences,2024/04/29 11:10 PM,Monday,2024/07/01 4:13 AM,2024/06/30 1:13 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,25 - 30K,Head of School,,23,7,1,2024/04/27 8:36 AM,,sjohnson@barnesvilleschool.org,,,
Barstow School,2024/05/06 11:30 PM,Monday,,2024/06/30 1:22 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MO,Midwest,25 - 30K,Director of Middle School & Student Success Center,,30,8,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
BASIS Independent Brooklyn,2024/03/02 11:32 PM,Saturday,2024/03/02 11:32 PM,2024/07/06 11:23 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,NY,Northeast,35 - 40K,"Director of Academic Programs, Upper School",,,27,3,2024/02/29 12:23 PM,website,precious@efcoachtutors.com,,,
BASIS Independent Silicon Valley,2024/05/06 11:36 PM,Monday,,2024/07/06 11:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,35 - 40K,Learning Expert Teacher,,,8,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Bay Ridge Prep,2024/03/08 11:57 PM,Friday,,2024/07/04 9:21 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,30 - 35K,Academic Counselor,,,7,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Bear Creek School,2024/04/08 11:35 PM,Monday,2024/04/08 11:35 PM,2024/06/29 12:54 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,WA,West,30 - 35K,Student Support Specialist K-8,,25,12,2,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Beit Rabban Day School,2024/03/08 11:42 PM,Friday,2024/04/26 12:18 AM,2024/07/04 9:21 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,35 - 40K,Director of Student Support,,,7,2,2024/03/07 11:35 AM,,slevy@beitrabban.org,,,Sent
Belen Jesuit Preparatory School,2024/02/24 8:05 AM,Saturday,,2024/07/04 9:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,20 - 25K,Dean of Student Life,,20,8,0,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,Sent
Bellarmine Preparatory School,2024/04/08 11:33 PM,Monday,,2024/07/05 10:23 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,20 - 25K,Counselor - Chair,,42,10,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Bement School,2024/03/15 10:35 PM,Friday,,2024/07/04 9:26 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,30 - 35K,Upper School Learning Specialist/Associate Dorm Parent,,"30k, Boarding 76k",7,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Benilde-St. Margaret's School,2024/04/29 11:02 PM,Monday,,2024/07/06 11:21 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,10 - 15K,Learning Support Specialist,,17,9,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Bennett Day School,2023/11/15 12:30 AM,Wednesday,2023/11/21 2:23 AM,2024/07/03 8:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,30 - 35K,Learning Specialist,,,16,1,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Berean Christian Academy,2024/04/08 11:37 PM,Monday,,2024/07/05 10:29 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Academic Administrator,,,8,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Berkeley School,2024/02/24 8:14 AM,Saturday,2024/07/07 2:29 AM,2024/07/06 11:29 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,30 - 35K,MS Academic Learning Specialist,,33,11,1,2024/02/22 12:26 PM,,jtilson@theberkeleyschool.org,,,Sent
Berkshire Waldorf School,2024/03/15 10:57 PM,Friday,,2024/07/04 9:21 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,20 - 25K,Director of Strategy and Leadership Advisor,,,8,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Bernard Zell Anshe Emet Day School,2024/03/02 11:38 PM,Saturday,2024/07/07 2:27 AM,2024/07/06 11:27 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,30 - 35K,Head of Middle School,,30,10,1,2024/02/29 12:23 PM,,ecrane@bernardzell.org,,,Sent
Besant Hill School,2024/05/06 11:38 PM,Monday,2024/07/01 4:17 AM,2024/06/30 1:17 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,25 - 30K,Director of Academics,,"25, Boarding 64K",7,1,2024/05/06 4:53 AM,,clowndes@besanthill.org,,,
Billings Middle School,2024/04/15 11:13 PM,Monday,,2024/07/05 10:27 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,35 - 40K,Counselor,,30,7,0,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Birches School,2024/03/15 10:54 PM,Friday,,2024/07/04 9:24 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,30 - 35K,Head of School,,24,7,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Bishop Blanchet High School,2024/04/08 11:12 PM,Monday,2024/07/06 1:22 AM,2024/07/05 10:22 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,15 - 20K,School Counselor (F-La),,48,9,1,2024/04/06 7:16 AM,,ecamden@bishopblanchet.org,,,
Bishop Brady High School,2024/03/23 1:09 AM,Saturday,2024/07/05 12:18 AM,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NH,Northeast,10 - 15K,School Counselor,,46,7,1,2024/03/22 6:33 AM,,szouzas@bishopbrady.edu,,,Sent
Bishop Eustace Preparatory School,2024/04/15 11:05 PM,Monday,2024/06/15 12:40 AM,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,15 - 20K,School Counselor,,,10,2,2024/04/13 5:02 AM,,jeitner@eustace.org,,,
Bishop Feehan High School,2024/03/15 10:36 PM,Friday,2024/03/15 10:36 PM,2024/07/04 9:22 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,5 - 10K,ARC Learning Specialist,,,9,2,2024/03/14 1:45 PM,,despositosmith@bishopfeehan.com,,,Sent
Bishop Guertin High School,2024/03/23 1:14 AM,Saturday,,2024/07/05 10:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NH,Northeast,15 - 20K,Director of School Counseling and Admission,,32,7,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Bishop John J. Snyder High School,2024/02/19 11:33 PM,Monday,,2024/07/06 11:18 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Dean of Academics & Academic Skills Center Director,,45,12,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Bishop Lynch High School,2024/03/23 1:01 AM,Saturday,,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,20 - 25K,Learning Specialist,,38,15,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Bishop McLaughlin Catholic High School,2024/02/16 11:40 PM,Friday,2024/06/05 10:18 PM,2024/07/06 11:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,15 - 20K,School Counselor,,40,13,1,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Blair Academy,2024/01/30 12:19 AM,Tuesday,,2024/07/03 8:25 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,50 - 55K,School Counselor,,36,10,0,2024/01/26 3:16 PM,,precious@efcoachtutors.com,,,Sent
Boca Prep International School,2024/02/24 8:09 AM,Saturday,,2024/07/04 9:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,20 - 25K,Head of School,,,7,0,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,Sent
Boston College High School,2023/11/02 1:05 AM,Thursday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,20 - 25K,Counselor,,,12,0,2023/11/01 9:36 AM,,precious@efcoachtutors.com,,,Sent
Boston Trinity Academy,2024/03/08 11:37 PM,Friday,,2024/07/04 9:24 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,25 - 30K,Dean of Students,,,7,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Boys' Latin School of Maryland,2024/04/22 11:30 PM,Monday,2024/04/27 1:39 AM,2024/06/30 1:20 PM,Received Summer Drip,"Received Summer Drip, Imported, Contact Later, Engaged, Sent Intro MM","New Contacts, Sent Mail Merges, Warm Leads",No response yet,MD,South,35 - 40K,Middle School Learning Specialist,,"45, Boarding 53K",9,2,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Bradenton Christian School,2024/02/16 11:43 PM,Friday,,2024/06/29 1:05 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Elementary Learning Services,,25,12,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Branch School,2024/03/29 10:09 PM,Friday,,2024/06/29 12:54 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,Counselor,,,8,0,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Breck School,2023/11/07 12:12 AM,Tuesday,2024/07/03 11:19 PM,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,35 - 40K,Upper School Learning Coach,,,12,1,2023/11/03 1:58 PM,,sarah.carpenter@breckschool.org,,,Sent
Brentwood Christian School,2024/03/29 10:01 PM,Friday,2024/03/29 10:01 PM,2024/06/29 12:53 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Academic Advisor,,12,8,2,2024/03/29 6:09 AM,,gjones@brentwoodchristian.org,,,Sent
Briarwood School,2024/04/08 11:36 PM,Monday,,2024/07/05 10:28 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,20 - 25K,"Middle and Upper School Counselor, Director of Community & Belonging",,24,7,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Bridges Academy,2024/03/08 11:59 PM,Friday,2024/03/08 11:59 PM,2024/06/29 1:02 PM,Received Summer Drip,,"New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,NY,Northeast,15 - 20K,Dean of Students,,6,10,3,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Bright Water Waldorf School,2024/04/15 11:35 PM,Monday,,2024/07/05 10:23 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,25 - 30K,"Middle School Math and science, Grade School Support",,,9,0,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Brighton School,2024/04/08 11:05 PM,Monday,,2024/07/05 10:30 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,15 - 20K,Head of School,,,7,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
"British International School of Chicago, South Loop",2024/03/02 11:31 PM,Saturday,,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,30 - 35K,Principal,,15,8,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
British International School of Houston,2024/03/23 1:13 AM,Saturday,,2024/07/05 10:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,30 - 35K,Principal,,,10,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Brook Hill School,2024/03/23 1:09 AM,Saturday,2024/03/23 1:09 AM,2024/06/29 12:57 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,TX,South,15 - 20K,Director of Academic & College Counseling,,"35k, Bording 57k",17,2,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Brookfield Academy,2023/11/15 12:30 AM,Wednesday,,2024/07/03 8:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WI,Midwest,20 - 25K,"Middle School, Mission and Academics, History",,,17,0,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Brookwood School,2024/03/15 10:52 PM,Friday,,2024/07/04 9:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,35 - 40K,Learning Skills Specialist,,38,7,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Brownell Talbot College Preparatory School,2024/03/02 11:38 PM,Saturday,2024/03/02 11:38 PM,2024/06/29 12:57 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,NE,Midwest,15 - 20K,Assistant Head of Academics,,,10,1,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
Brunswick School,2023/11/07 12:01 AM,Tuesday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CT,Northeast,50 - 55K,Upper School Learning Specialist,,,12,0,2023/11/03 11:56 AM,,precious@efcoachtutors.com,,,Sent
Bryn Mawr School,2024/04/22 11:42 PM,Monday,2024/06/08 12:29 AM,2024/06/30 1:11 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,35 - 40K,Middle School Learning Specialist,,45,9,2,2024/04/20 6:38 AM,,chissella@brynmawrschool.org,,,
Buckingham Friends School,2024/01/16 11:42 PM,Tuesday,,2024/07/03 8:21 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,PA,Northeast,20 - 25K,Reading Specialist,,35%,10,0,2024/01/15 4:09 PM,,precious@efcoachtutors.com,,,Sent
Burr and Burton Academy,2024/03/23 1:01 AM,Saturday,,2024/07/05 10:22 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,VT,Northeast,15 - 20K,School Counselor,,Boarding 60k,7,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Butler Montessori,2024/04/29 11:02 PM,Monday,,2024/06/28 9:56 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,15 - 20K,Head of School,,17,10,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Calvary Christian High School,2024/02/24 11:03 PM,Saturday,2024/02/24 11:03 PM,2024/07/04 9:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,FL,South,15 - 20K,Academic Learning Specialist,,25,9,1,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,
Calvary Episcopal Preparatory,2024/03/29 10:12 PM,Friday,,2024/06/29 12:59 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,Counselor,,,8,0,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Calvert Hall College High School,2024/04/22 11:10 PM,Monday,,2024/06/30 1:20 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,15 - 20K,Dean of Students,,,7,0,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Calvert School,2024/04/29 11:02 PM,Monday,,2024/06/30 1:15 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,25 - 30K,Head Master,,33,7,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Cambrian Academy,2024/05/06 11:34 PM,Monday,,2024/06/30 1:14 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,20 - 25K,College Preparatory Counseling,,10,9,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Cambridge Friends School,2024/03/15 10:44 PM,Friday,,2024/07/04 9:26 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,35 - 40K,Middle School Learning Specialist,,43,10,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Cambridge School,2023/11/14 11:36 PM,Tuesday,,2024/07/03 8:21 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,25 - 30K,Student Support Services,,,19,0,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Cambridge School of Dallas,2024/03/23 1:08 AM,Saturday,2024/03/23 1:08 AM,2024/06/29 12:54 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,TX,South,20 - 25K,Director of Student Life & Chemistry,,30,9,1,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Canton Country Day School,2024/01/10 12:15 AM,Wednesday,,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,OH,Midwest,15 - 20K,Academic Dean,,35%,10,0,2024/01/09 5:24 AM,,precious@efcoachtutors.com,,,Sent
Cardigan Mountain School,2024/03/23 1:10 AM,Saturday,2024/03/23 1:10 AM,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NH,Northeast,35 - 40K,School Counselor,,31,5,1,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Cardinal Newman High School,2024/02/16 11:32 PM,Friday,,2024/07/03 8:25 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Engaged, Imported","New Contacts, Sent Mail Merges, Warm Leads",No response yet,FL,South,15 - 20K,Math/Academic Dean,,32,7,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Carrollton School of Sacred Heart,2024/01/29 11:50 PM,Monday,,2024/06/29 12:53 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,40 - 45K,Learning Specialist,,25,13,0,2024/01/26 3:16 PM,,precious@efcoachtutors.com,,,Sent
Carrollwood Day School,2024/02/24 11:00 PM,Saturday,,2024/07/06 11:25 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,25 - 30K,Assistant Head of School for Academics,,,9,0,2024/02/22 12:26 PM,,twalsh@cdspatriots.org,,,Sent
Cascades Academy,2024/01/29 11:39 PM,Monday,,2024/07/04 9:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,OR,West,20 - 25K,Learning Specialist,,26,10,0,2024/01/26 3:16 PM,,precious@efcoachtutors.com,,,
Castilleja School,2023/11/07 12:10 AM,Tuesday,2024/07/03 11:20 PM,2024/07/03 8:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,55k+,Learning Specialist,,,12,1,2023/11/03 1:58 PM,,alichtblau@castilleja.org,,,Sent
Cathedral Catholic High School,2023/11/15 12:30 AM,Wednesday,2023/11/21 2:20 AM,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,20 - 25K,Dean of Counseling and Wellness,,36,16,4,2023/11/13 11:00 PM,,abascom@cathedralcatholic.org,,,Sent
Catholic High School of Baltimore,2024/04/29 11:01 PM,Monday,,2024/06/30 1:11 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,15 - 20K,School Counselor,,,7,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Cedar Park Christian School - Mill Creek Campus,2024/04/15 11:41 PM,Monday,2024/06/15 12:43 AM,2024/07/05 10:26 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,10 - 15K,Guidance Counselor,,,7,2,2024/04/13 5:02 AM,,amber.lont@cedarpark.org,,,
Cedar River Montessori School,2024/04/15 11:14 PM,Monday,2024/04/15 11:14 PM,2024/06/30 1:16 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,WA,West,15 - 20K,Director of Student Support,,19,11,1,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Cedarwood Waldorf School,2024/02/19 11:31 PM,Monday,2024/02/19 11:31 PM,2024/07/03 8:21 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,OR,West,15 - 20K,Interim Chief Administrative Officer,,30,8,4,2024/02/15 1:55 PM,,aclayton@cedarwoodschool.org,,,Sent
Center for Teaching & Learning,2024/04/08 11:08 PM,Monday,,2024/07/05 10:28 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,Head of School,,,11,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Chaminade College Preparatory,2024/05/06 11:30 PM,Monday,2024/05/11 1:17 AM,2024/06/30 1:16 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,20 - 25K,Director of Counseling,,26,7,1,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Chaminade College Preparatory School,2024/05/06 11:39 PM,Monday,,2024/07/06 11:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MO,Midwest,15 - 20K,Learning Consultant - Middle School,,"43, Boarding 43K",8,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
